技能名,属性,类型,威力,耗能,效果描述,,
打雪仗,冰系,魔攻,45,3,造成魔伤，2连击。,,
极寒领域,冰系,魔攻,105,6,造成魔伤，若敌方有冻结，本次技能威力+60，应对状态：使冻结翻倍。,,
碎冰冰,冰系,魔攻,40,3,造成魔伤，敌方每有1层冻结，本次技能威力+20。,,
沙涌,地系,变化,0,7,将天气改为沙暴，每过1回合，本技能能耗永久-1。,,
泥浆铠甲,地系,变化,0,2,自己获得物攻和物防+40%，应对防御：额外使自己的增益翻倍。,,
流沙,地系,变化,0,1,敌方2回合无法更换精灵，应对防御：敌方获得双防-50%。,,
石肤术,地系,变化,0,3,自己获得物防+160%和魔防-60%。,,
蓄势待发,地系,变化,0,4,自己获得1层蓄势印记。蓄势印记：全攻击技能威力+30%，且能耗+1。可叠加,,
钧势,地系,变化,0,3,自己获得物防+140%和速度-30。,,
地刺,地系,物攻,85,3,造成物伤，应对状态：额外打断被应对技能。,,
地陷,地系,物攻,70,5,造成物伤，自己获得物防+60%，应对状态：本次技能威力翻倍，且物防额外+60%。,,
地震,地系,物攻,190,10,对敌方精灵造成物理伤害。,,
岩土暴击,地系,物攻,140,8,造成物伤，每被攻击1次。本技能能耗永久-1。,,
岩脉崩毁,地系,物攻,120,4,造成物伤，本技能能耗固定为4。,,
扬沙,地系,物攻,60,1,对敌方精灵造成物理伤害。,,
抛石,地系,物攻,140,30,造成物伤，回合结束时，本技能能耗永久-5。,,
石锁,地系,物攻,50,3,造成物伤，敌方2回合无法更换精灵。,,
落石,地系,物攻,55,1,造成物伤，1连击。,,
裂石,地系,物攻,85,3,造成物伤，应对状态：敌方获得物防-80%。,,
跺地,地系,物攻,80,2,对敌方精灵造成物理伤害。,,
震击,地系,物攻,80,3,造成伤害，敌方获得连击数-3。,,
鸣沙陷阱,地系,物攻,60,4,造成物伤，物防比敌方越高，本次技能威力越高。,,
不动如山,地系,防御,0,2,减伤90%，应对攻击。,,
刺盾,地系,防御,0,3,减伤70%，应对攻击：敌方获得物攻-50%。,,
壁垒,地系,防御,0,2,减伤80%，应对攻击：防御技能冷却-1。,,
淤泥表皮,地系,防御,0,2,减伤80%，应对攻击：敌方获得连击数-2。,,
硬化,地系,防御,0,2,减伤80%，若上次使用攻击技则本技能能耗-2，应对攻击。,,
遁地,地系,防御,0,3,减伤50%并脱离，应对攻击。,,
泥巴喷射,地系,魔攻,60,1,对敌方精灵造成魔法伤害。,,
泥浆,地系,魔攻,40,0,对敌方精灵造成魔法伤害。,,
热砂,地系,魔攻,80,2,对敌方精灵造成魔法伤害。,,
陨石,地系,魔攻,100,3,对敌方精灵造成魔法伤害。,,
二律背反,幻系,变化,0,3,敌方获得3层星陨，应对防御：额外使敌方星陨层数翻倍。星陨：使用非幻系技能攻击拥有此印记的精灵时，会触发星陨印记，消耗全部星陨层数，对其造成额外的幻系伤害。可叠加,,
心灵洞悉,幻系,变化,0,7,敌方获得星陨，获得层数等于敌方印记层数。星陨：使用非幻系技能攻击拥有此印记的精灵时，会触发星陨印记，消耗全部星陨层数，对其造成额外的幻系伤害。可叠加,,
星轨裂变,幻系,变化,0,1,敌方获得2层星陨。星陨：使用非幻系技能攻击拥有此印记的精灵时，会触发星陨印记，消耗全部星陨层数，对其造成额外的幻系伤害。可叠加,,
星链,幻系,变化,0,3,2连击，每次连击使敌方获得1层星陨。星陨：使用非幻系技能攻击拥有此印记的精灵时，会触发星陨印记，消耗全部星陨层数，对其造成额外的幻系伤害。可叠加,,
超新星馈赠,幻系,变化,0,2,敌方获得2层星陨，每使用1次，赋予的星陨层数+1。星陨：使用非幻系技能攻击拥有此印记的精灵时，会触发星陨印记，消耗全部星陨层数，对其造成额外的幻系伤害。可叠加,,
超维投射,幻系,变化,0,4,敌方获得4层星陨。星陨：使用非幻系技能攻击拥有此印记的精灵时，会触发星陨印记，消耗全部星陨层数，对其造成额外的幻系伤害。可叠加,,
偷师,幻系,物攻,30,0,造成物伤，自己回复1能量。,,
双星,幻系,物攻,100,3,对敌方精灵造成物理伤害。,,
念力膨胀,幻系,物攻,80,2,对敌方精灵造成物理伤害。,,
星云漩涡,幻系,物攻,60,1,对敌方精灵造成物理伤害。,,
空间压迫,幻系,物攻,70,3,造成物伤，敌方获得1层星陨。星陨：使用非幻系技能攻击拥有此印记的精灵时，会触发星陨印记，消耗全部星陨层数，对其造成额外的幻系伤害。可叠加,,
粒子对撞,幻系,物攻,40,0,对敌方精灵造成物理伤害。,,
冥想,幻系,防御,0,3,减伤70%，应对攻击：敌方获得2层星陨。星陨：使用非幻系技能攻击拥有此印记的精灵时，会触发星陨印记，消耗全部星陨层数，对其造成额外的幻系伤害。可叠加,,
四维降解,幻系,魔攻,100,7,造成魔伤，敌方每有1层印记，本技能能耗-1。,,
坍缩,幻系,魔攻,85,3,造成魔伤，若击败敌方，自己获得魔攻+50%。,,
多维击打,幻系,魔攻,20,3,造成魔伤，1连击，敌方每有1层星陨，本次技能连击数+1。星陨：使用非幻系技能攻击拥有此印记的精灵时，会触发星陨印记，消耗全部星陨层数，对其造成额外的幻系伤害。可叠加,,
大爆炸,幻系,魔攻,100,3,对敌方精灵造成魔法伤害。,,
针状物,幻系,魔攻,30,3,造成魔伤，3连击。,,
错乱,幻系,魔攻,60,2,造成魔伤，应对状态：敌方获得3层星陨。星陨：使用非幻系技能攻击拥有此印记的精灵时，会触发星陨印记，消耗全部星陨层数，对其造成额外的幻系伤害。可叠加,,
勾魂,幽系,变化,0,1,偷取敌方3能量。,,
嘲弄,幽系,变化,0,2,自己获得魔攻+70%，若敌方本回合替换精灵，自己获得速度+70。,,
恶作剧,幽系,变化,0,0,敌方失去3能量，应对防御：改为敌方失去6能量。,,
降灵,幽系,变化,0,2,敌方获得1层降灵印记。降灵印记：入场时失去1能量。可叠加。,,
坟场搏击,幽系,物攻,180,4,造成物伤，敌方每有1能量，本次技能威力-10%。,,
幻象,幽系,物攻,60,1,对敌方精灵造成物理伤害。,,
惊吓盒子,幽系,物攻,85,3,造成物伤，应对状态：使敌方失去6能量。,,
诡刺,幽系,物攻,40,0,对敌方精灵造成物理伤害。,,
报复,幽系,防御,0,2,减伤60%，应对攻击：敌方失去3能量。,,
虚化,幽系,防御,0,2,减伤70%，应对攻击：自己获得魔防+40%。,,
午夜噪音,幽系,魔攻,20,4,造成魔伤，5连击。,,
幽灵爆发,幽系,魔攻,140,5,对敌方精灵造成魔法伤害。,,
恐吓,幽系,魔攻,80,2,对敌方精灵造成魔法伤害。,,
灵光,幽系,魔攻,25,3,造成魔伤，3连击，若敌方本回合替换精灵，本次技能连击数翻倍。,,
灵媒,幽系,魔攻,100,3,对敌方精灵造成魔法伤害。,,
背袭,幽系,魔攻,40,2,造成魔伤，若敌方能量等于0，造成20倍伤害。,,
鬼火,幽系,魔攻,30,0,造成魔伤，自己回复1能量。,,
伪造账单,恶系,变化,0,1,若敌方本回合回复生命，改为失去2倍。先手+1。,,
力量吞噬,恶系,变化,0,4,敌方获得技能威力-20，自己获得技能威力+20。,,
恶念交换,恶系,变化,0,4,与敌方交换生命比例。,,
恶意逃离,恶系,变化,0,1,脱离，应对防御：额外使敌方攻击技能能耗+6。,,
暗箱操作,恶系,变化,0,1,自己获得双攻和双防-100%，应对防御：改为敌方-100%。,,
欺诈契约,恶系,变化,0,3,与敌方交换增益和减益。,,
贪婪,恶系,变化,0,2,获得100%吸血。,,
隐藏条款,恶系,变化,0,8,与敌方交换携带的技能。,,
冲击,恶系,物攻,80,2,对敌方精灵造成物理伤害。,,
彼岸之手,恶系,物攻,150,10,造成物伤，自己每失去10%生命，本技能能耗-1。,,
恶能量,恶系,物攻,60,1,对敌方精灵造成物理伤害。,,
撕咬,恶系,物攻,30,3,造成物伤，3连击，若自己的生命低于50%，本次技能连击数+2。,,
撕裂,恶系,物攻,85,3,造成物伤，应对状态：本次攻击吸血100%。,,
暗突袭,恶系,物攻,70,4,造成物伤，吸血50%，应对状态：本次技能威力翻倍。,,
极限撕裂,恶系,物攻,140,4,造成物伤，若生命高于50%，使用后自己获得双攻-50%。,,
灾厄,恶系,物攻,150,1,对自己造成物伤，应对状态：改为对敌方造成物伤。,,
蝙蝠,恶系,物攻,60,2,造成物伤，并吸血100%。,,
诋毁,恶系,物攻,80,2,对敌方精灵造成物理伤害。,,
趁火打劫,恶系,物攻,35,3,造成物伤，2连击，若击败敌方，本技能连击数永久+2。,,
跌落,恶系,物攻,120,3,造成大量物伤，自己获得物攻-50%，应对状态：改为获得物攻+50%。,,
迫害,恶系,物攻,40,0,对敌方精灵造成物理伤害。,,
魔爪,恶系,物攻,30,0,造成物伤，自己回复1能量。,,
等价交换,恶系,防御,0,3,减伤70%，应对攻击：自己获得50%吸血。,,
虚假破产,恶系,防御,0,2,减伤80%，能量不足时，消耗5%生命代替1能量，应对攻击。,,
掠夺,恶系,魔攻,60,1,对敌方精灵造成魔法伤害。,,
栽赃,恶系,魔攻,150,6,对敌方精灵造成魔法伤害。,,
牵连,恶系,魔攻,85,4,造成魔伤，敌方每有1只力竭精灵，本次技能威力+30。,,
骗局,恶系,魔攻,110,4,造成魔伤，能量不足时，消耗5%生命代替1能量。,,
黑手,恶系,魔攻,45,3,造成魔伤，2连击。,,
三连破,普通系,变化,0,1,自己获得物攻+30%，3连击。,,
主场优势,普通系,变化,0,3,自己获得1层攻击印记。攻击印记：全技能威力+10%。可叠加。,,
休息回复,普通系,变化,0,2,自己回复30%生命。,,
伺机而动,普通系,变化,0,1,下一次行动时，攻击技能威力+70。,,
借用,普通系,变化,0,0,每回合随机变成己方队伍中其他精灵的技能。,,
力量增效,普通系,变化,0,1,自己获得物攻+100%。,,
加固,普通系,变化,0,2,自己获得物防+140%。,,
取念,普通系,变化,0,0,每回合随机变成敌方任意精灵的技能，且该技能能耗-2。,,
咆哮,普通系,变化,0,1,敌方获得物攻-130%。,,
复写,普通系,变化,0,0,每回合随机变成自己未携带的技能，且该技能能耗-2。,,
应激反应,普通系,变化,0,2,自己回复25%生命，应对防御：改为回复50%生命。,,
快速移动,普通系,变化,0,1,自己获得速度+80，应对防御：改为速度+160。,,
摇篮曲,普通系,变化,0,5,敌方获得全技能能耗+3，应对防御：额外造成打断，且敌方下回合获得眩晕。,,
操控,普通系,变化,0,1,敌方本回合使用的技能能耗+7，持续3回合。,,
晒太阳,普通系,变化,0,1,驱散敌方所有增益。,,
棘刺,普通系,变化,0,2,敌方获得1层棘刺印记。棘刺印记：入场时失去6%最大生命。可叠加,,
激怒,普通系,变化,0,3,敌方除本回合使用的技能，其他技能能耗+3，持续3回合。,,
热身运动,普通系,变化,0,2,自己获得连击数+3。,,
精神扰乱,普通系,变化,0,0,敌方获得全技能能耗+1，应对防御：改为能耗+3。,,
耀眼,普通系,变化,0,1,敌方获得连击数-4。,,
聒噪,普通系,变化,0,3,敌方获得全攻击技能能耗+3，持续3回合。,,
退化,普通系,变化,0,2,敌方获得1层萌化。,,
锐利眼神,普通系,变化,0,2,敌方获得物防和魔防-120%。,,
魔法增效,普通系,变化,0,0,自己获得魔攻+70%。,,
鼓劲,普通系,变化,0,3,自己获得魔防+170%。,,
乘胜追击,普通系,物攻,40,2,造成物伤，1连击，每次使用后，本技能连击数永久+1。,,
以重制重,普通系,物攻,0,3,造成物伤，敌方体重越高，本次技能威力越高。,,
偷袭,普通系,物攻,85,3,造成物伤，应对状态：本次技能威力变为3倍。,,
先发制人,普通系,物攻,55,2,造成物理伤害，先手+1。,,
冲撞,普通系,物攻,135,7,造成物伤，回合结束时，本技能能耗永久-1。,,
压扁,普通系,物攻,155,5,对敌方精灵造成物理伤害。,,
后发制人,普通系,物攻,140,3,造成物理伤害，先手-1。,,
吞噬,普通系,物攻,150,6,造成物伤，若使用本技能击败敌方，回复6能量。,,
吨位压制,普通系,物攻,0,3,造成物伤，敌方体重越低，威力越高。,,
垂死反击,普通系,物攻,80,4,造成物伤，自己每失去5%生命，本次技能威力+5。,,
天旋地转,普通系,物攻,60,3,造成物理伤害，先手+1，迸发：本次技能威力+30。,,
当头棒喝,普通系,物攻,80,3,造成物伤，若敌方本回合替换精灵，本次技能威力+100。,,
扫尾,普通系,物攻,90,2,对敌方精灵造成物理伤害。,,
抓挠,普通系,物攻,30,0,造成物伤，自己回复1能量。,,
旋转突击,普通系,物攻,30,3,造成物伤，3连击。,,
气势一击,普通系,物攻,80,3,造成物伤，若上回合应对成功，本次技能威力+180。,,
猛烈撞击,普通系,物攻,60,1,对敌方精灵造成物理伤害。,,
穿膛,普通系,物攻,65,2,造成物伤，若敌方能量小于等于2，造成5倍伤害。,,
能量刃,普通系,物攻,70,3,造成物伤，每应对成功1次，本技能威力永久+90。,,
落星,普通系,物攻,40,0,对敌方精灵造成物理伤害。,,
见招拆招,普通系,物攻,65,2,造成物伤，若上回合使用状态技能，本次技能威力+55。,,
践踏,普通系,物攻,120,4,对敌方精灵造成物理伤害。,,
连续爪击,普通系,物攻,30,2,造成物伤，2连击，应对状态：本次技能连击数翻倍。,,
迫近攻击,普通系,物攻,90,3,造成物伤。每次使用后，本技能威力永久+45。,,
逆袭,普通系,物攻,100,3,造成物伤，本技能能耗每+1，威力+45。,,
重击,普通系,物攻,110,2,造成物伤，每次使用后，本技能能耗永久+1。,,
飞踢,普通系,物攻,110,3,对敌方精灵造成物理伤害。,,
吓退,普通系,防御,0,2,减伤60%，应对攻击：敌方脱离。,,
嗜痛,普通系,防御,0,2,减伤80%，应对攻击：期间自己每次受到伤害，获得双攻+40%。,,
无畏之心,普通系,防御,0,5,减伤100%，应对攻击：减免的伤害变为回复自己生命，且本技能能耗永久+2。,,
有效预防,普通系,防御,0,2,减伤50%，应对攻击：下次行动获得先手+1。,,
血气,普通系,防御,0,2,减伤60%，应对攻击：本回合受到致命伤害时，保留1生命值。,,
防反,普通系,防御,0,2,减伤60%，应对攻击：自己获得物攻和魔攻+40%。,,
防御,普通系,防御,0,1,减伤70%，应对攻击。,,
乱打,普通系,魔攻,25,4,造成魔伤，5连击。,,
倾泻,普通系,魔攻,60,3,造成魔伤，若本次攻击未被防御或技能应对，则驱散双方所有印记。,,
埋伏,普通系,魔攻,30,4,造成魔伤，3连击，若敌方本回合替换精灵，本次技能连击数+3。,,
彗星,普通系,魔攻,240,0,造成魔伤，每失去5%生命，本次技能威力-10，使用后消耗全部生命。,,
打鼾,普通系,魔攻,165,6,对敌方精灵造成魔法伤害。,,
拍击,普通系,魔攻,60,1,对敌方精灵造成魔法伤害。,,
星星撞击,普通系,魔攻,80,2,对敌方精灵造成魔法伤害。,,
消毒法,普通系,魔攻,115,4,造成魔伤，驱散敌方5层增益。,,
湮灭,普通系,魔攻,155,5,对敌方精灵造成魔法伤害。,,
突袭,普通系,魔攻,50,2,造成魔伤，应对状态：本次技能威力变为3倍。,,
能量炮,普通系,魔攻,50,3,造成魔伤，2连击。,,
蓄能轰击,普通系,魔攻,130,6,造成魔伤，每使用1次普通系技能，本技能能耗永久-2。,,
触底强击,普通系,魔攻,65,3,造成魔伤，使用后若能量耗尽，本次技能威力+110。,,
许愿星,普通系,魔攻,110,3,对敌方精灵造成魔法伤害。,,
追打,普通系,魔攻,75,3,造成魔伤，1连击，应对状态：本技能变为3连击。,,
阻断,普通系,魔攻,80,2,造成魔伤，应对状态：额外打断被应对技能。,,
音波弹,普通系,魔攻,25,1,造成魔伤，1连击。,,
音爆,普通系,魔攻,130,4,对敌方精灵造成魔法伤害。,,
魔能爆,普通系,魔攻,1,0,造成魔伤，使用时消耗所有能量，消耗越高，伤害越高。,,
啮合传递,机械系,变化,0,2,自己获得速度+100，本技能位于1号位时能耗-2，传动。,,
杠杆置换,机械系,变化,0,0,自己回复2能量，交换两侧技能位置。,,
联动装置,机械系,变化,0,0,所有技能传动，应对防御：额外交换两侧技能能耗。,,
轴承支撑,机械系,变化,0,3,主动：本技能被动额外-1能耗，被动：两侧技能能耗-1，传动。,,
主轴,机械系,物攻,75,2,造成物伤，此技能位置不会改变。,,
传感器,机械系,物攻,55,1,造成物伤，1连击。,,
拆卸,机械系,物攻,40,0,对敌方精灵造成物理伤害。,,
械斗,机械系,物攻,55,1,造成物伤，传动。,,
钢钻,机械系,物攻,0,4,造成物伤，技能威力为两侧技能威力和的三分之一，传动。,,
钢铁洪流,机械系,物攻,80,3,造成物伤，本技能位于4号位时威力+80，传动。,,
齿轮切开,机械系,物攻,145,6,造成物伤，传动。,,
齿轮扭矩,机械系,物攻,60,3,造成物伤，每变化1次位置，本技能威力永久+20。,,
能量守恒,机械系,防御,0,2,减伤80%，应对攻击：所有技能传动。,,
磁暴,机械系,魔攻,95,3,造成魔伤，传动。,,
离子震荡,机械系,魔攻,55,1,造成魔伤，传动。,,
金属噪音,机械系,魔攻,80,2,对敌方精灵造成魔法伤害。,,
化劲,武系,变化,0,2,获得全技能威力+40。,,
提气,武系,变化,0,4,获得全技能威力+40，若敌方本回合替换精灵，额外获得威力+50。,,
气沉丹田,武系,变化,0,10,自己回复60%生命，获得物攻+130%，每次应对后本技能能耗-3，使用后能耗重置。,,
破绽,武系,变化,0,1,敌方获得双防-50%，应对防御：自己额外获得物攻+50%。,,
破防,武系,变化,0,3,敌方获得双防-130%，应对防御：额外使被应对技能冷却2回合。,,
预备势,武系,变化,0,1,自己获得物攻+80%，应对防御：额外使敌方获得物防-80%。,,
一拳,武系,物攻,140,5,对敌方精灵造成物理伤害。,,
反击拳,武系,物攻,25,2,造成物伤，2连击，若后手攻击，改为3连击。,,
寸拳,武系,物攻,30,0,造成物伤，自己回复1能量。,,
崩拳,武系,物攻,60,2,造成物伤，应对状态：自己获得物攻+100%。,,
影袭,武系,物攻,100,3,对敌方精灵造成物理伤害。,,
截拳,武系,物攻,85,3,造成物伤，应对状态：额外造成打断，回复该技能能耗的能量。,,
技巧打击,武系,物攻,25,2,造成物伤，应对状态：本次技能威力变为10倍。,,
散手,武系,物攻,30,3,造成物伤，2连击，应对状态：本技能改为6连击。,,
斩断,武系,物攻,70,2,造成物伤，应对状态：额外打断被应对技能。,,
无影脚,武系,物攻,75,3,造成物伤，应对状态：本次技能威力变为2倍。,,
爆冲,武系,物攻,50,3,造成物伤，应对状态：本次技能威力变为5倍。,,
缠丝劲,武系,物攻,25,1,造成物伤，2连击。,,
听桥,武系,防御,0,4,减伤60%，应对攻击：对敌方造成伤害，威力与被应对技能相等。,,
硬门,武系,防御,0,2,应对攻击：打断被应对技能，并造成75威力物伤。,,
防御反击,武系,防御,0,3,减伤70%，应对攻击：获得全技能威力+20。,,
叠势,武系,魔攻,25,3,造成魔伤，2连击，每成功应对1次，本技能连击数永久+2。,,
气波,武系,魔攻,40,0,对敌方精灵造成魔法伤害。,,
贯手,武系,魔攻,80,2,对敌方精灵造成魔法伤害。,,
以毒攻毒,毒系,变化,0,1,敌方每有1层中毒效果，自己获得魔攻+30%。,,
剧毒,毒系,变化,0,2,敌方获得3层中毒，应对防御：改为获得8层。,,
毒孢子,毒系,变化,0,3,敌方获得5层中毒。,,
毒雾,毒系,变化,0,7,将敌方所有增益，转化成中毒。,,
疫病吐息,毒系,变化,0,3,敌方获得1层中毒印记。,,中毒印记：回合结束造成3%生命的毒系伤害，可叠加。
腐化,毒系,变化,0,1,敌方每有1层中毒效果，敌方获得双攻-30%。,,
落井下毒,毒系,变化,0,6,使敌方精灵减益的层数翻倍。,,
毒囊,毒系,物攻,20,2,造成物伤，敌方获得2层中毒，应对状态：改为获得6层。,,
毒沼,毒系,物攻,80,2,对敌方精灵造成物理伤害。,,
毒针,毒系,物攻,20,0,造成物伤，敌方获得1层中毒。,,
溃烂触碰,毒系,物攻,60,1,对敌方精灵造成物理伤害。,,
连续毒针,毒系,物攻,15,2,造成物伤，2连击，每次连击使敌方获得1层中毒。,,
不可接触,毒系,防御,0,1,减伤50%，敌方每有1层中毒效果，本技能减伤+10%，应对攻击。,,
感染病,毒系,魔攻,85,4,造成魔伤，若击败敌方则将中毒转化为印记。,,
毒泡泡,毒系,魔攻,40,0,对敌方精灵造成魔法伤害。,,
毒液渗透,毒系,魔攻,120,5,造成魔伤，敌方每有1层中毒效果，本技能能耗-1，敌方获得1层中毒。,,
瘴气喷射,毒系,魔攻,100,3,对敌方精灵造成魔法伤害。,,
腐蚀酸液,毒系,魔攻,35,2,造成魔伤，敌方获得2层中毒。,,
鸩毒,毒系,魔攻,75,3,造成魔伤，敌方每有1层中毒效果，本次技能威力+10，应对状态：改为本次威力+20。,,
打湿,水系,变化,0,4,自己获得1层湿润印记。湿润印记：全技能能耗-1，可叠加。,,
洗礼,水系,变化,0,1,驱散自己的减益，并获得全技能能耗-1。,,
润泽,水系,变化,0,7,自己获得魔攻+190%。,,
盐水浴,水系,变化,0,1,自己获得全技能能耗-2，应对防御：改为技能能耗-3。,,
落雨,水系,变化,0,8,将天气改为雨天。本技能受能耗降低效果的影响翻倍。,,
蓄水,水系,变化,0,1,下次使用的技能能耗-6。,,
水刃,水系,物攻,115,4,造成物伤，应对状态：本技能能耗永久-4。,,
水幕冲击,水系,物攻,100,3,对敌方精灵造成物理伤害。,,
泡沫,水系,物攻,60,1,对敌方精灵造成物理伤害。,,
潮涌,水系,物攻,80,2,对敌方精灵造成物理伤害。,,
水泡盾,水系,防御,0,2,减伤70%，应对攻击：自己获得魔攻+40%。,,
水环,水系,防御,0,2,减伤70%，应对攻击：自己获得全技能能耗-2。,,
泡沫幻影,水系,防御,0,2,减伤70%，应对攻击：自己脱离。,,
潮汐,水系,防御,0,4,减伤60%，应对攻击：自己获得1层湿润印记。湿润印记：全技能能耗-1，可叠加。,,
天洪,水系,魔攻,150,7,造成魔伤，应对状态：本技能能耗永久-6。,,
气泡,水系,魔攻,100,3,对敌方精灵造成魔法伤害。,,
水光冲击,水系,魔攻,140,5,对敌方精灵造成魔法伤害。,,
水弹,水系,魔攻,40,0,对敌方精灵造成魔法伤害。,,
水弹枪,水系,魔攻,80,2,对敌方精灵造成魔法伤害。,,
水星水,水系,魔攻,0,3,造成魔伤，应对状态：本次伤害不受自身属性减益和敌方属性增益影响,,
水波术,水系,魔攻,90,6,造成魔伤，回合结束时，本技能威力永久+20。,,
水炮,水系,魔攻,110,5,造成魔伤，每次使用后，本技能能耗永久-1。,,
水花四溅,水系,魔攻,20,3,造成魔伤，4连击。,,
涌泉,水系,魔攻,60,6,造成魔伤，本技能能耗每-1，威力+10。,,
激流,水系,魔攻,120,4,对敌方精灵造成魔法伤害。,,
甩水,水系,魔攻,30,0,造成魔伤，自己回复1能量。,,
肥皂泡,水系,魔攻,60,1,对敌方精灵造成魔法伤害。,,
充分燃烧,火系,变化,0,3,使敌方身上的灼烧翻倍，并触发1次灼烧伤害。,,
天火,火系,变化,0,3,敌方获得10层灼烧，应对防御：改为获得30层。,,
引燃,火系,变化,0,2,敌方获得10层灼烧。,,
怒火,火系,变化,0,1,自己获得双攻+130%和双防-40%。,,
热身,火系,变化,0,1,下一次攻击技能威力翻倍，应对防御：改为威力变为3倍。,,
焚烧烙印,火系,变化,0,3,驱散双方所有印记，每驱散1层，敌方获得5层灼烧。,,
双响炮,火系,物攻,25,1,造成物伤，2连击。,,
吹火,火系,物攻,50,1,造成物伤，每次使用后，本技能威力永久+20。,,
山火,火系,物攻,15,3,造成物伤，每使用1次其他火系技能，本技能威力永久翻倍。,,
流星火雨,火系,物攻,75,3,造成物伤，每次击败敌方，本技能威力永久+75。,,
火云车,火系,物攻,140,5,对敌方精灵造成物理伤害。,,
火焰冲锋,火系,物攻,60,1,对敌方精灵造成物理伤害。,,
火焰切割,火系,物攻,100,3,对敌方精灵造成物理伤害。,,
火焰箭,火系,物攻,80,2,对敌方精灵造成物理伤害。,,
火苗,火系,物攻,30,0,造成物伤，自己回复1能量。,,
灼伤,火系,物攻,120,4,对敌方精灵造成物理伤害。,,
炎息,火系,物攻,40,0,对敌方精灵造成物理伤害。,,
闪燃,火系,物攻,35,1,造成物伤，应对状态：本次技能威力变为4倍。,,
淬火,火系,防御,0,4,减伤70%，应对攻击：下次攻击技能威力翻倍。,,
火焰护盾,火系,防御,0,2,减伤70%，应对攻击：敌方获得4层灼烧。,,
持续高温,火系,魔攻,85,3,造成魔伤，应对状态：下次攻击技能威力翻倍。,,
易燃物质,火系,魔攻,30,3,造成魔伤，2连击，每次连击使敌方获得2层灼烧。,,
流火,火系,魔攻,15,1,造成魔伤，3连击。,,
火爪,火系,魔攻,60,1,对敌方精灵造成魔法伤害。,,
